venue,asset,form,instrument_type,symbol,status,volume_24h
hyperliquid,CRCL,perp,perp,xyz:xyz:CRCL,proxy,95194184.976581
hyperliquid,AVGO,perp,perp,xyz:xyz:AVGO,proxy,3052245.047000001
hyperliquid,SPY,perp,perp,xyz:SPY,absent,
hyperliquid,QQQ,perp,perp,xyz:QQQ,absent,
lighter,AMZN,perp,perp,AMZN,absent,
lighter,GOOGL,perp,perp,GOOGL,absent,
lighter,META,perp,perp,META,absent,
lighter,AMD,perp,perp,AMD,absent,
lighter,PLTR,perp,perp,PLTR,absent,
lighter,COIN,perp,perp,COIN,absent,
lighter,HOOD,perp,perp,HOOD,absent,
lighter,MSTR,perp,perp,MSTR,absent,
lighter,AVGO,perp,perp,AVGO,absent,
lighter,ORCL,perp,perp,ORCL,absent,
lighter,SPY,perp,perp,SPY,absent,
lighter,QQQ,perp,perp,QQQ,absent,
lighter,CRCL,perp,perp,CRCL,absent,
lighter,TSLA,perp,perp,TSLA,absent,
lighter,NVDA,perp,perp,NVDA,absent,
lighter,AAPL,perp,perp,AAPL,absent,
lighter,MSFT,perp,perp,MSFT,absent,
